"rid";"_categories_rid";"_parent_rid";"level"
13846;1517;113;1
13847;1517;730;2
13848;1518;113;1
13849;1518;730;2
13850;1519;113;1
13851;1519;730;2
13852;1520;113;1
13853;1520;730;2
13854;1521;113;1
13855;1521;730;2
13856;1522;113;1
13857;1522;731;2
13858;1523;113;1
13859;1523;731;2
13860;1524;113;1
13861;1524;736;2
13862;1525;113;1
13863;1525;736;2
13864;1526;103;1
13865;1526;828;2
13866;1527;103;1
13867;1527;831;2
13868;1528;103;1
13869;1528;833;2
13870;1529;111;1
13871;1530;111;1
13872;1530;1529;2
13873;1531;111;1
13874;1532;111;1
13875;1533;111;1
13876;1534;111;1
13877;1535;111;1
13878;1536;111;1
13879;1537;111;1
13880;1538;111;1
13881;1539;111;1
13882;1539;1538;2
13883;1540;111;1
13884;1540;1538;2
13885;1541;111;1
13886;1542;111;1
13887;1543;111;1
13888;1544;111;1
13889;1545;111;1
13890;1546;111;1
13891;1547;111;1
13892;1548;111;1
13893;1549;111;1
13894;1549;1548;2
13895;1550;111;1
13896;1550;1548;2
13897;1551;111;1
13898;1551;1548;2
13899;1552;111;1
13900;1552;1548;2
13901;1553;111;1
13902;1553;1548;2
13903;1554;111;1
13904;1554;1548;2
13905;1555;111;1
13906;1555;1548;2
13907;1556;111;1
13908;1556;1548;2
13909;1557;111;1
13910;1557;1548;2
13911;1558;111;1
13912;1559;111;1
13913;1560;111;1
13914;1561;111;1
13915;1561;1560;2
13916;1562;111;1
13917;1562;1560;2
13918;1563;111;1
13919;1563;1560;2
13920;1564;111;1
13921;1564;1560;2
13922;1565;111;1
13923;1565;1560;2
13924;1566;111;1
13925;1566;1560;2
13926;1567;111;1
13927;1567;1560;2
13928;1568;111;1
13929;1568;1560;2
13930;1569;111;1
13931;1570;111;1
13932;1570;1569;2
13933;1571;111;1
13934;1571;1569;2
13935;1572;111;1
13936;1572;1569;2
13937;1573;111;1
13938;1574;111;1
13939;1574;1573;2
13940;1575;111;1
13941;1575;1573;2
13942;1576;111;1
13943;1576;1573;2
13944;1577;111;1
13945;1577;1573;2
13946;1578;111;1
13947;1578;1573;2
13948;1579;111;1
13949;1579;1573;2
13950;1580;111;1
13951;1580;1573;2
13952;1581;111;1
13953;1581;1573;2
13954;1582;111;1
13955;1582;1573;2
13956;1583;111;1
13957;1583;1573;2
13958;1584;111;1
13959;1584;1573;2
13960;1585;111;1
13961;1585;1573;2
13962;1586;108;1
13963;1587;108;1
13964;1587;948;2
13965;1588;108;1
13966;1588;1586;2
13967;1589;108;1
13968;1589;1586;2
13969;1590;108;1
13970;1590;1586;2
13971;1591;108;1
13972;1591;1586;2
13973;1592;108;1
13974;1592;1586;2
13975;1593;108;1
13976;1593;1586;2
13977;1594;108;1
13978;1594;1586;2
13979;1595;109;1
13980;1595;1134;2
13981;1596;102;1
13982;1597;102;1
13983;1597;914;2
13984;1598;102;1
13985;1598;914;2
13986;1599;102;1
13987;1600;111;1
13988;1601;111;1
13989;1602;111;1
13990;1603;111;1
13991;1604;100;1
13992;1604;324;2
13993;1605;104;1
13994;1605;380;2
13995;1606;104;1
13996;1606;380;2
13997;1607;104;1
13998;1607;380;2
13999;1608;104;1
14000;1608;380;2
14001;1609;104;1
14002;1609;380;2
14003;1612;104;1
14004;1612;382;2
14005;1612;431;3
14006;1613;104;1
14007;1613;382;2
14008;1613;431;3
14009;1614;107;1
14010;1615;107;1
14011;1615;1004;2
14012;1616;107;1
14013;1616;1005;2
14014;1617;113;1
14015;1617;712;2
14016;1618;115;1
14017;1619;115;1
14018;1620;115;1
14019;1620;1619;2
14020;1621;115;1
14021;1621;1619;2
14022;1622;115;1
14023;1623;115;1
14024;1623;1622;2
14025;1624;115;1
14026;1624;1622;2
14027;1625;115;1
14028;1625;1622;2
14029;1626;115;1
14030;1626;1622;2
14031;1627;115;1
14032;1628;115;1
14033;1629;115;1
14034;1630;115;1
14035;1630;1629;2
14036;1631;115;1
14037;1631;1629;2
14038;1632;115;1
14039;1633;1269;1
14040;1634;1269;1
14041;1635;1269;1
14042;1635;1634;2
14043;1636;1269;1
14044;1636;1634;2
14045;1637;1269;1
14046;1637;1634;2
14047;1638;1269;1
14048;1638;1634;2
14049;1639;1269;1
14050;1639;1634;2
14051;1640;1269;1
14052;1641;1269;1
14053;1641;1640;2
14054;1642;1269;1
14055;1642;1640;2
14056;1643;1269;1
14057;1643;1640;2
14058;1644;1269;1
14059;1644;1640;2
14060;1645;114;1
14061;1645;450;2
14062;1646;99;1
14063;1646;586;2
14064;1647;99;1
14065;1647;586;2
14066;1648;111;1
14067;1648;1502;2
14068;1649;111;1
14069;1649;1569;2
14070;1650;103;1
14071;1650;821;2
14072;1651;113;1
14073;1652;111;1
14074;1655;103;1
14075;1655;827;2
14080;1428;105;1
14081;1428;1233;2
11261;116;87;1
11262;117;87;1
11263;118;87;1
11264;118;117;2
11265;119;87;1
11266;121;87;1
11267;122;87;1
11268;123;87;1
11269;124;87;1
11270;124;1152;2
11271;125;87;1
11272;127;87;1
11273;128;87;1
11274;128;1152;2
11275;129;87;1
11276;129;116;2
11277;130;87;1
11278;130;116;2
11279;131;87;1
11280;131;116;2
11281;132;87;1
11282;132;116;2
11283;133;87;1
11284;133;116;2
11285;134;87;1
11286;134;116;2
11287;135;87;1
11288;135;119;2
11289;136;87;1
11290;136;119;2
11291;137;87;1
11292;137;119;2
11293;138;87;1
11294;138;119;2
11295;139;87;1
11296;139;119;2
11297;140;87;1
11298;140;119;2
11299;141;87;1
11300;141;119;2
11301;142;87;1
11302;142;119;2
11303;143;87;1
11304;143;119;2
11305;144;87;1
11306;144;119;2
11307;145;87;1
11308;145;119;2
11309;146;87;1
11310;146;119;2
11311;147;87;1
11312;147;119;2
11313;148;87;1
11314;148;119;2
11315;149;87;1
11316;149;119;2
11317;150;87;1
11318;150;119;2
11319;151;87;1
11320;151;122;2
11321;152;87;1
11322;152;121;2
11323;153;87;1
11324;153;121;2
11325;154;87;1
11326;154;122;2
11327;155;87;1
11328;155;122;2
11329;156;87;1
11330;156;122;2
11331;157;87;1
11332;157;122;2
11333;158;87;1
11334;158;122;2
11335;159;87;1
11336;159;122;2
11337;160;87;1
11338;160;122;2
